spi_rank,country,spi_score,basic_human_needs,wellbeing,opportunity,basic_nutri_med_care,water_sanitation,shelter,personal_safety,access_basic_knowledge,access_info_comm,health_wellness,env_quality,personal_rights,personal_freedom_choice,inclusiveness,access_adv_edu
14,Austria,89.44,94.42,91.32,82.58,98.86,98.36,91.21,89.26,98.48,94.75,87.09,84.95,91.43,87.54,69.19,82.15
15,Luxembourg,88.75,92.98,91.52,81.74,98.78,98.8,90.04,84.32,98.83,90.82,88.56,87.85,95.34,89.56,76.06,65.99
16,Belgium,88.68,93.13,88.12,84.79,98.55,97.86,94.72,81.39,95.15,87.97,86.21,83.15,97.44,86.83,72.82,82.08
17,Korea. Republic of,88.42,95.22,89.66,80.36,98.18,97.07,93.55,92.07,91.12,98.05,89.09,80.41,93.21,79.64,62.38,86.22
18,United Kingdom,88.25,92.67,90.5,81.59,98.36,98.22,90.23,83.87,91.96,96.6,83.81,89.63,94.59,85.37,64.56,81.82
19,France,88.23,92.46,89.98,82.25,98.58,98.56,90.43,82.28,93.09,91.73,87.3,87.79,94.65,85.28,69.62,79.44
20,Spain,87.53,92.57,89.03,80.98,98.78,98.83,88.85,83.81,89.66,91.4,88.33,86.73,95.44,80.58,69.19,78.71
21,Estonia,87.38,92.34,91.1,78.71,97.56,98.91,94.99,77.9,98.53,96.73,78.26,90.87,94.52,85.15,58.15,77.04
22,Czechia,86.6,94.44,86.07,79.27,98.42,98.1,92.94,88.32,98.4,83.29,80.7,81.89,93.61,81.67,63.64,78.17
23,Italy,86.56,91.28,87.77,80.62,98.9,97.99,91.79,76.44,91.07,87.36,88.9,83.74,95.69,74.31,75.5,76.97
24,United States,86.29,89.93,86.67,82.27,97.51,96.97,92.58,72.67,92.63,94.01,74.33,85.7,91.88,82.54,65.04,89.6
25,Portugal,85.97,92.2,85.81,79.89,98.36,96.09,89.44,84.94,88.59,87.42,83.27,83.95,94.57,80.97,72.1,71.91
26,Slovenia,85.83,93.58,86.21,77.7,97.59,99.27,89.14,88.32,95.38,82.18,81.25,86.04,90.06,81.67,61.4,77.66
27,Lithuania,85.58,91.3,85.44,80.01,97.14,98.41,93.47,76.16,96.42,86.46,72.16,86.74,94.5,79.56,66,79.97
28,Malta,85.24,92.99,86.32,76.4,98.09,98.46,90.43,84.99,93.82,88.22,87.08,76.17,89.35,78.96,72.83,64.45
29,Cyprus,85.03,91.19,86.6,77.29,97.29,98.45,90.43,78.58,94.64,89.57,84.74,77.44,92.25,78.33,61.16,77.44
30,Singapore,84.73,96.57,86.87,70.74,97.81,95.83,96.48,96.15,91.05,83.43,91.01,82,68.78,88.84,52.62,72.7
31,Greece,84.37,92.1,83.59,77.41,98.53,98.52,90.81,80.54,88.47,82.44,83.74,79.72,86.84,72.04,68.49,82.28
32,Israel,83.81,90.95,85.39,75.09,98.67,97.29,89.26,78.57,90.24,82.31,86.2,82.8,90.61,76.89,54.51,78.36
33,Slovakia,83.69,92.68,82.59,75.8,95.53,98.77,92.15,84.26,92.11,86.4,73.18,78.7,92.99,78.02,60.14,72.04
34,Latvia,83.43,90.58,83.18,76.51,96.84,98.71,92.17,74.6,95.01,84.3,68.94,84.5,94.72,81.46,51.65,78.23
35,Poland,83.08,92.68,82.06,74.5,97.2,98.61,90.09,84.84,92.62,86.24,72.12,77.27,83.22,78.33,60.67,75.78
36,Croatia,82.82,91.32,85.01,72.14,97.2,99.06,93.39,75.63,96.31,85.94,77.45,80.34,88.66,74.17,52.05,73.69
37,Chile,82.18,87.51,81.66,77.36,97,93.41,86.79,72.84,84.35,86.57,75.7,80,92.1,78.03,61.08,78.23
38,Costa Rica,81.73,87.11,82.59,75.48,96.13,92.88,90.35,69.1,87.96,83.52,81.41,77.48,95.51,73.79,71.1,61.53
39,Uruguay,81.15,86.22,81.23,76,95.64,94.06,88.18,67,87.34,87.81,74.95,74.82,94.99,76.13,68,64.88
40,Barbados,80.74,86.67,81.58,73.98,93.74,89.36,91.29,72.29,97.37,81.6,72.71,74.64,93.29,74.97,62.87,64.81
41,Argentina,80.38,85,80.01,76.12,94.31,90.34,88.91,66.45,84.06,87.91,69.03,79.03,91.59,67.3,68.7,76.89
42,Hungary,80.15,91.84,79.2,69.42,97.17,97.18,91.39,81.6,91.26,77.97,67.7,79.89,80.84,76.8,53.89,66.14
43,Bulgaria,78.81,90.43,75.04,70.95,95.82,98.51,90.1,77.27,86.5,82.75,61.72,69.18,83.58,72.27,58.12,69.84
44,Romania,78.41,89.47,76.87,68.91,95.57,92.77,91.24,78.29,82.81,85.65,63.74,75.26,89.01,70.9,47.24,68.47
45,Mauritius,77.3,90.31,76.9,64.7,92.4,96.75,91.33,80.76,87.95,74.72,67.67,77.27,86.97,67.93,51.58,52.32
46,Trinidad and Tobago,76.82,84.58,78.54,67.33,93.76,93.59,90.42,60.57,91.6,81,66.84,74.71,89.86,65.13,56.77,57.57
47,Serbia,75.99,88.61,75.06,64.29,96.39,98.17,88.24,71.65,92.21,74.95,65.88,67.21,75.62,65.93,45.37,70.25
48,Ukraine,75.78,84.3,75.84,67.2,92.11,94.92,90.23,59.96,91.22,79.98,59.01,73.16,77.34,69.26,47.99,74.2
49,Georgia,75.47,86.49,75.86,64.06,93.16,95.22,89.55,68.03,94.6,78.07,62.85,67.93,81.62,57.88,45.72,71.01
50,Kuwait,75.32,90.74,77.62,57.59,97.4,95.4,90.04,80.12,77.28,89.32,84.1,59.77,64.95,68.7,33.82,62.87
51,Malaysia,75.22,87.23,78.33,60.11,91.33,90.29,91.84,75.47,89.64,83.56,67.64,72.5,66.22,69.66,43.29,61.26
52,Panama,75.01,84,76.79,64.25,91.02,86.35,90.67,67.97,79.64,74.03,75,78.5,86.89,61.26,48.68,60.15
53,Jamaica,75,81.63,73.91,69.48,92.43,83.6,86.69,63.78,85.63,69.2,66.78,74.01,88.97,65.5,68.8,54.66
54,Belarus,74.83,86.72,78.05,59.71,98.08,98.95,92.33,57.53,96.17,73.6,67.69,74.73,42.09,77.15,52.85,66.78
55,Armenia,74.56,86.8,73.87,62.99,94.95,91.21,91.09,69.96,89.69,78.97,66.08,60.75,80.6,59.29,47.95,64.14
56,Albania,74.51,86.59,78.26,58.69,91.97,92.18,89.92,72.29,93.11,74.17,73.52,72.24,80.28,47.46,47.5,59.5
57,Montenegro,74.15,87.72,73.88,60.84,97.34,98.47,86.19,68.89,93.39,73.37,68.32,60.42,76.47,67.02,35.06,64.81
58,Tunisia,73.95,87.4,69.27,65.19,94.77,94.39,86.08,74.38,71.44,79.93,69.75,55.97,83.94,68.39,50.28,58.14
59,Ecuador,73.85,81.43,75.87,64.25,88.48,88.66,89.42,59.15,82.56,77.71,68.84,74.36,81.97,60.73,52.65,61.64
60,Moldova,73.67,85.19,73.96,61.86,95.32,85.25,92.54,67.63,90.9,79.99,61.57,63.37,83.12,59.51,44.26,60.53
61,Peru,73.61,81.32,76.2,63.31,90.28,83.18,84.23,67.58,77,80.85,72.45,74.5,82.11,60.78,46.98,63.37
62,Russia,73.45,83,79.4,57.94,95.49,97.04,88.56,50.92,94.34,77.42,64.7,81.16,51.79,70.26,30.31,79.4
63,Republic of North Macedonia,73.05,88.7,70.66,59.79,97.25,98.04,87.16,72.36,76.66,82.79,63.46,59.74,77.36,62.38,38.88,60.53
64,Kazakhstan,72.23,86.49,75.83,54.38,95.53,93.93,91.89,64.61,94.54,78.2,61.69,68.87,53.63,71.58,30.01,62.3
65,Brazil,72.06,79.15,75.19,61.83,93.61,86.92,87.33,48.75,75.74,81.16,64.42,79.44,75.93,65.51,47,58.86
66,Bosnia and Herzegovina,71.91,87.08,71.2,57.45,96.72,97.8,81.56,72.25,84.95,75.44,66.69,57.72,71.2,59.5,41.23,57.85
67,United Arab Emirates,71.58,88.5,73.22,53.02,94.36,92.25,96.09,71.28,89.12,84.55,62.36,56.87,45.2,75.69,27.26,63.93
68,Mexico,71.52,79.96,71.85,62.77,92.31,89.67,87.11,50.74,79.92,76.38,64.34,66.75,71.07,63.69,56.07,60.25
69,Paraguay,71.49,82.8,72.99,58.68,91.54,91.17,83.55,64.93,71.45,81.47,61.49,77.54,81.1,61.78,41.01,50.83
70,Colombia,71.35,80.93,76.47,56.67,93.03,91.99,88.75,49.94,77.77,81.76,71.39,74.94,70,62.59,34.88,59.19
71,Thailand,70.96,81.25,76.51,55.11,91.47,84.91,93.28,55.33,77.51,73.41,75.1,80,50.78,64.27,49.25,56.16
72,Sri Lanka,70.81,79.65,76.52,56.25,92.87,79.55,78.99,67.21,88.33,65.77,72.28,79.68,70.15,63.38,42.17,49.31
73,Dominican Republic,70.71,80.74,70.31,61.07,90.27,87.27,88.16,57.26,74.46,79.41,58.5,68.88,82.88,57.57,48.46,55.36
74,Maldives,70.49,86.48,72.98,52.01,89.11,86.15,88.36,82.29,71.3,70.42,70.91,79.29,59.92,60.89,48.39,38.85
75,Suriname,70.22,83.03,67.35,60.27,90.06,84.88,89.32,67.88,78.4,60.47,62.37,68.15,85.94,64.47,47.39,43.27
76,Cuba,70.18,86.22,70.53,53.79,96.15,89.05,87.38,72.29,93.9,45.44,75.5,67.28,30.71,66.95,64.12,53.4
77,Cabo Verde,70,78.6,66.3,65.09,87.24,74,84.59,68.57,68.84,68.95,65.46,61.93,89.99,67.52,59.62,43.24
78,Vietnam,69.7,83.54,71.68,53.88,89.61,82.6,87.82,74.14,85.85,69.91,65.12,65.86,47.5,65.27,52.57,50.17
79,Mongolia,69.18,75.72,66.69,65.12,86.64,67.35,75.08,73.8,91.1,73.27,48.44,53.95,87.61,64,51.65,57.23
80,South Africa,69.17,69.96,69.33,68.22,80.89,65.54,84.32,49.1,77.13,76.05,55.38,68.77,87.51,69.84,56.94,58.58
81,Fiji,69.06,82.77,66.87,57.54,92.37,85.6,79.95,73.16,89.38,63.68,44.19,70.24,67.03,63.07,47.68,52.39
82,Kyrgyzstan,68.78,82.81,70.64,52.88,91.55,86.85,86.65,66.21,92.97,68.35,59.46,61.76,63.32,60.79,34.1,53.3
83,Jordan,68.77,86.95,66.69,52.67,93.25,94.54,89.24,70.76,80.02,54.37,73.69,58.68,60.43,62.18,28.88,59.18
84,Bhutan,68.44,82.67,66.22,56.44,81.7,76.42,87.75,84.8,63.22,68.49,66.72,66.44,75.01,66.78,48.53,35.43
85,Oman,68.09,84.46,68.05,51.76,92.46,85.37,92.34,67.65,79.08,81.9,68.89,42.31,51.8,68.05,34.21,53.01
86,Qatar,68.07,89.38,66.05,48.8,95.95,95.42,90.62,75.5,83.34,78.33,74.67,27.85,42.46,79.89,19.83,53.01
87,Turkey,67.99,84.2,68.82,50.93,95.59,91.59,86.79,62.84,72.33,76.34,72.36,54.27,40.17,63.25,29.92,70.39
88,Lebanon,67.79,83.13,65.17,55.07,94.44,89.72,87.87,60.5,80.1,58.08,67.61,54.9,66.32,62.78,25.85,65.33
89,Bolivia,67.69,78.88,66.67,57.54,82.6,80.28,84.31,68.35,73.71,68.47,54.85,69.63,70.09,56.6,55.18,48.27
90,Algeria,67.04,84.7,62.27,54.16,92.07,92.78,86.65,67.29,77.27,49.66,70.1,52.03,54.11,67.1,41.55,53.9
91,Botswana,66.96,69.67,68.16,63.04,72.42,64.58,73.52,68.15,84.6,64.52,58.58,64.95,82.79,69.72,49.2,50.45
92,West Bank and Gaza,66.73,80.37,66.81,53.02,94.25,74.18,87.7,65.34,84.66,65.69,63.59,53.3,60.75,58.78,33.08,59.48
93,Guyana,66.27,79.18,61.29,58.34,88.09,81.85,83.33,63.47,78.66,57.48,52.14,56.87,84.5,55.98,50.25,42.65
94,Indonesia,66.26,75.74,65.71,57.35,80.92,58.52,87.89,75.61,72.14,73.08,52.35,65.25,69.53,63.44,39.36,57.09
95,Uzbekistan,65.9,85.26,62.54,49.9,92.03,93.92,91.26,63.83,93.47,70.28,48.45,37.95,49.34,66.08,36.52,47.65
96,Bahrain,65.85,86.29,69.79,41.48,96.85,93.64,94.51,60.15,80.29,78.79,73.33,46.76,34.9,68.57,8.12,54.32
97,Philippines,65.73,72.3,67.62,57.28,82.04,77.67,78.69,50.81,80.86,69.21,49.26,71.16,69.5,61.2,41.98,56.44
98,Iran,65.72,83.66,67.56,45.93,94.36,94.98,84.32,60.98,79.56,64.11,72.35,54.24,45.29,52.15,24.45,61.82
99,Ghana,65.67,70.6,64.92,61.5,80.85,60.95,68.21,72.38,71.47,71.09,53.99,63.11,90.4,53.47,53.7,48.43
100,China,65.44,83.75,65.08,47.49,95.87,88.5,87.3,63.35,80.36,71.45,65.76,42.75,25.57,70.69,32.15,61.55
101,Morocco,65.24,82.97,60.77,51.98,89.53,79.33,90.83,72.2,60.84,70.5,55.55,56.19,63.58,62.95,31.52,49.89
102,Sao Tome and Principe,64.62,75.15,59.01,59.69,81.84,82.75,61.22,74.79,68.17,48.91,54.73,64.25,88.12,56.7,58.4,35.55
103,El Salvador,64.25,74.42,63.98,54.34,90.73,76.04,88.77,42.14,64.35,66.44,64.98,60.17,69.73,60.46,44.32,42.85
104,Gabon,64.05,74.18,62.17,55.81,77.41,71.72,81.67,65.92,74.36,59.14,55.88,59.28,66.89,55.54,51.02,49.79
105,Saudi Arabia,63.73,82.78,66.63,41.78,94.54,93.11,94.12,49.36,82.37,77.1,71.81,35.24,24.27,70.34,10.49,62.02
106,Namibia,63.38,64.37,64.17,61.6,77.93,57.49,61.37,60.71,73.53,64.2,51.21,67.74,84.57,67.79,48.38,45.67
107,Azerbaijan,62.9,84.01,65.11,39.57,92.99,86.82,92.92,63.33,83.61,71.93,47.56,57.34,37.4,51.39,21.94,47.54
108,Nicaragua,62.45,73.52,67.32,46.51,87.43,76.13,77.75,52.77,78.81,50.36,69.7,70.41,46.84,59.33,45.33,34.54
109,Egypt,60.29,81.41,51.56,47.9,90.61,89.35,88.45,57.22,76.39,59.99,45.92,23.95,43.76,62.42,30.47,54.94
110,Honduras,60.19,71.51,59.01,50.05,84.99,78.59,74.61,47.85,64.22,54.41,53.39,64,66.43,54.15,36.76,42.87
111,Senegal,59.73,69.42,54.89,54.88,77.14,58.26,60.62,81.68,37.29,63.99,52.99,65.31,84.94,45.77,52.32,36.5
112,Guatemala,59.54,66.55,63.91,48.15,77.61,64.06,79.12,45.43,66.75,67.08,59.48,62.31,66.22,53.36,32.86,40.16
113,Nepal,59.06,74.48,50.12,52.58,82.26,65.43,71.14,79.07,53.77,57.59,50.86,38.24,73.22,48.83,48,40.29
114,Timor-Leste,58.85,62.63,59.73,54.2,64.26,51.63,65.34,69.31,58.85,58.74,49.26,72.05,74.48,55.36,48.53,38.42
115,India,58.81,71.32,50.59,54.52,76.04,64.28,82.93,62.04,58.43,59.36,49.45,35.12,69.01,53.1,43.76,52.22
116,Kenya,58.76,57.99,62.81,55.47,67.62,50.64,58.87,54.84,64.04,63.06,52.55,71.59,71.17,61.77,43.49,45.44
117,Myanmar,58.62,70.07,57.46,48.34,78.29,67.52,65.27,69.19,64.97,54.88,49.56,60.42,61.14,58.97,42.97,30.27
118,Iraq,58.35,74.31,55.88,44.85,84.57,80.55,89.25,42.86,60.73,65.52,60.77,36.5,46.99,47.65,27.44,57.33
119,Libya,58.23,75.73,55.08,43.89,90.76,91.58,76.44,44.14,60.29,45.85,58.68,55.48,35.19,49.4,39.47,51.51
120,Turkmenistan,57.58,82.46,59.74,30.52,91.16,79.32,95.26,64.11,86.86,41.79,51.16,59.18,15.66,61.62,22.05,22.75
121,Bangladesh,56.87,72.51,55.02,43.09,79.09,73.08,73.44,64.42,64.8,57,52.3,45.98,55.31,47.25,29.36,40.44
122,Gambia. The,56.49,64.42,51.96,53.09,69.34,61.97,50.04,76.34,53.99,48.06,47.19,58.6,81.66,42.77,51.93,36.01
123,Tajikistan,56.33,78.24,55.48,35.27,85.99,77.1,87.6,62.26,87.01,46.29,46.42,42.2,28.55,56.74,18.49,37.29
124,Malawi,55.64,58.72,54.46,53.75,70.17,51.65,38.04,75,60.73,38.23,46.47,72.42,79.99,56.3,42.48,36.22
125,Benin,55.43,53.92,56.86,55.51,65.62,41.45,48.6,60,55.05,54.29,53.28,64.8,79.47,45.3,59.02,38.26
126,Tanzania,55.17,56.36,59.45,49.68,67.09,42.88,48.51,66.97,60.32,50.59,56.08,70.82,61.21,50.15,52.8,34.56
127,Comoros,54.71,61.78,54.06,48.28,72.06,57.06,61.79,56.2,56.37,34.28,52.66,72.93,62.79,44.86,51.85,33.62
128,Cambodia,54.52,63.69,56.53,43.33,78.55,47.2,70.96,58.03,52.48,54.3,49.2,70.16,43.44,57.52,36.11,36.23
129,Solomon Islands,54.03,58.36,48.77,54.95,80.02,51.18,35.64,66.59,61.69,44.38,31.19,57.83,79.36,60.99,40.73,38.7
130,Lesotho,53.97,49.4,53.93,58.57,49.42,45.78,55.51,46.9,75.82,49.41,38.67,51.8,81.12,58.02,60.84,34.31
131,Côte d'Ivoire,53.89,58.99,55.82,46.87,64.9,54.52,60.75,55.81,48.99,58.35,47.24,68.69,66.03,43.21,45.25,32.99
132,Syria,53.78,77.51,52.55,31.28,86.95,92.74,82.3,48.05,57.88,53.43,54.19,44.69,25.08,50.65,4.26,45.11
133,Togo,53.51,52.08,56.71,51.75,69.74,36.7,49.6,52.26,61.85,51.07,50.18,63.76,64.24,52.32,57.2,33.24
134,Zimbabwe,53.33,53.64,61.24,45.12,67.88,55.96,51.86,38.88,82.36,52.11,40.41,70.07,60.14,55.22,29.47,35.66
135,Zambia,53.29,55.73,55.59,48.55,68.16,42.91,52.23,59.59,61.56,44.41,46.66,69.74,60.77,53.31,44.2,35.93
136,Sierra Leone,53.01,51.16,55.18,52.69,51.98,39.15,36.13,77.37,52.01,53.29,46.27,69.15,78.76,51.99,46.37,33.63
137,Rwanda,53.01,55.6,59.81,43.62,67.8,52.91,48.2,53.48,63.31,53.73,57.47,64.73,46,69.08,30.06,29.34
138,Nigeria,52.65,54.2,55.06,48.69,62.27,46.91,57.76,49.85,53.34,60.27,51.5,55.12,74.08,38.29,34.34,48.07
139,Cameroon,52.07,58.04,53,45.18,68.81,49.98,59.97,53.4,67.94,49.33,49.53,45.19,62.38,47.11,34.3,36.93
140,Uganda,52.02,55.65,57.21,43.21,76.23,43.39,47.26,55.7,67.01,46.91,50.41,64.49,51.69,48.78,36.91,35.46
141,Eswatini,52,60.84,55.6,39.57,71.54,44.49,70.65,56.7,66.08,50.8,41.47,64.03,33.61,58.75,31.9,34.03
142,Liberia,51.67,52.28,48.49,54.25,53.42,46.16,42.26,67.29,44.5,34.79,47.76,66.89,78.63,50.8,52.27,35.28
143,Pakistan,50.82,65.09,45.49,41.87,68.15,67.76,69.04,55.43,45.3,50.86,41.52,44.28,46.16,49.62,26.8,44.91
144,Burkina Faso,50.65,51.18,51.46,49.31,64.62,47.07,38.73,54.29,33.04,60.96,46.64,65.19,67.9,43.73,49.74,35.87
145,Laos,50.09,60.37,51.72,38.2,72.49,46.26,67.28,55.43,60.4,32.47,45.7,68.31,26.61,59.15,40.26,26.77
146,Djibouti,49.91,62.68,43.61,43.45,64.99,71.55,59.07,55.12,38.73,37.68,47.37,50.65,47.81,54.32,44.92,26.75
147,Congo. Republic of,49.45,55.68,53.08,39.6,65.88,51.32,60.22,45.29,69.73,39.84,44.52,58.22,48.76,44.51,28.85,36.29
148,Ethiopia,48.8,49.77,50.7,45.94,69.76,22.77,49.63,56.91,45.93,37.66,53.73,65.48,60.78,54.46,32.48,36.06
149,Madagascar,48.75,46.14,50.38,49.75,56.92,14.8,41.33,71.49,65.87,32.61,38.04,64.99,74.22,47.18,43.82,33.78
150,Mozambique,47.89,46.38,51.21,46.06,58.59,34.3,41.14,51.5,55.61,40.64,39.84,68.75,63.05,38.89,52.38,29.93
151,Mali,47.86,55.64,47.15,40.79,69.85,42.11,47.42,63.21,24.8,52.7,46.02,65.09,62.92,32.41,38.46,29.37
152,Mauritania,47.63,58.07,49.34,35.49,69.63,43.78,61.53,57.33,43.4,49.24,54.89,49.8,54.01,41.43,17.22,29.29
153,Angola,47.23,51.63,48.78,41.27,67.38,33.72,57.44,48,50.36,37.99,44.58,62.18,54.37,48.19,34.36,28.18
154,Equatorial Guinea,46.61,62.65,44.91,32.28,71.81,61.23,67.64,49.91,51.07,25.49,51.75,51.32,38.23,38.21,19.3,33.4
155,Sudan,46.4,62.56,44.04,32.59,76.11,53.05,64.57,56.53,44.04,43.75,49.61,38.78,37.89,40.93,13.8,37.75
156,Papua New Guinea,46.06,48.19,43.85,46.14,58.3,37.34,47.14,49.99,49.4,33.59,21.03,71.39,73.03,46.39,29.68,35.45
157,Haiti,45.96,48.79,47.27,41.82,60.63,39.05,41.18,54.3,52.13,41.96,36.7,58.29,57.56,47.62,27.21,34.88
158,Guinea-Bissau,45.59,45.56,43.16,48.06,68.23,19.96,38.04,56.01,40.31,35.99,34.36,61.99,67.76,50.99,41.86,31.64
159,Guinea,43.26,47.99,46.6,35.18,55.7,46.75,42.3,47.23,30.56,53.51,36.85,65.49,49.1,36.11,28.68,26.83
160,Burundi,42.64,45.98,44.73,37.2,58.24,38.98,35.19,51.53,45.62,27.14,41.72,64.44,31.18,52.67,40.27,24.67
161,Congo. Democratic Republic of,42.11,44.75,48.03,33.53,60.91,34.97,39.09,44.04,58.83,25.61,43.37,64.31,41.52,38.62,23.53,30.46
162,Niger,42.02,47.66,38.14,40.27,57.73,36.2,37.04,59.67,24.11,32.78,46.13,49.55,68.49,27.41,45.47,19.7
163,Yemen,38.9,54.49,38.05,24.15,69.12,41.06,71.73,36.06,40.59,32.37,40.68,38.56,16.8,40.64,8.65,30.51
164,Somalia,35.62,40.21,38.41,28.22,55.75,32.42,35.52,37.17,25.5,33.4,29.57,65.16,23.8,31.9,27.4,29.8
165,Eritrea,35.33,44.94,35.95,25.1,57.92,27.91,50.27,43.67,40.18,6.81,41.68,55.12,14.88,37.86,24.82,22.84
166,Chad,34.6,35.65,36.26,31.87,47.24,21.48,33,40.9,23.14,24.31,41.47,56.13,52.04,28.66,22.03,24.76
167,Central African Republic,33.53,29.91,34.83,35.84,36.42,26.95,26.79,29.46,34.81,22.57,24.6,57.35,52.39,26.67,37.87,26.43
168,South Sudan,32.5,39.96,34.17,23.37,59.29,24.43,33.28,42.84,27.18,9.16,37.14,63.22,27.4,32.5,13.42,20.17
169,World,65.05,74.18,64.42,56.54,84.92,69.99,80.63,61.2,72.03,70.22,60.18,55.27,60.16,62.22,42.22,61.58
